osa:4323962	Os01g0524400
osa:4323963	Os01g0524500
osa:4323964	Os01g0516400
osa:4323965	Os01g0516600
osa:4323966	Os01g0516700; K02563 UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase [EC:2.4.1.227]
osa:4323970	Os01g0517500
osa:4323972	Os01g0517800
osa:4323973	Os01g0518000
osa:4323974	Os01g0518400
osa:4323975	Os01g0518500
osa:4323976	Os01g0519100
osa:4323977	Os01g0519400
osa:4323979	Os01g0520600
osa:4323980	Os01g0520800
osa:4323982	Os01g0512400
osa:4323983	Os01g0513100
osa:4323984	Os01g0513200
osa:4323985	Os01g0513400
osa:4323988	Os01g0513700
osa:4323989	Os01g0513800; K14847 ribosome production factor 2
osa:4323990	Os01g0513900; K11498 centromeric protein E
osa:4323991	Os01g0514000; K02896 large subunit ribosomal protein L24e
osa:4323992	Os01g0514300
osa:4323993	Os01g0514600
osa:4323994	Os01g0514700
osa:4323995	Os01g0515300
osa:4324001	Os01g0966700; K01193 beta-fructofuranosidase [EC:3.2.1.26]
osa:4324003	Os01g0966900
osa:4324004	Os01g0967000; K11096 small nuclear ribonucleoprotein D2
osa:4324005	Os01g0967100
osa:4324006	Os01g0967200
osa:4324008	Os01g0967600
osa:4324009	Os01g0967700
osa:4324010	Os01g0967800
osa:4324011	Os01g0967900; K01267 aspartyl aminopeptidase [EC:3.4.11.21]
osa:4324012	Os01g0968000
osa:4324013	Os01g0968100
osa:4324014	Os01g0968200
osa:4324015	Os01g0968300
osa:4324016	Os01g0968400
osa:4324017	Os01g0968600
osa:4324018	Os01g0508500
osa:4324019	Os01g0509400
osa:4324020	Os01g0509700
osa:4324022	Os01g0509900
osa:4324023	Os01g0510100; K04368 mitogen-activated protein kinase kinase 1 [EC:2.7.12.2]
osa:4324024	Os01g0510200
osa:4324025	Os01g0510500
osa:4324026	Os01g0510600
osa:4324027	Os01g0510800; K03131 transcription initiation factor TFIID subunit 6
